province,technology,2016,2025,absolute_change,pct_change
Alberta,Combustible fuels,72518466.0,65825792.0,-6692674.0,-9.228923844031671
Alberta,Hydro,1952061.0,2081350.0,129289.0,6.623204910092461
Alberta,Solar,1787.0,3535210.0,3533423.0,197729.32288752098
Alberta,Wind,4586389.0,14949839.0,10363450.0,225.96099022564374
British Columbia,Combustible fuels,6608102.0,5504173.0,-1103929.0,-16.705689470289652
British Columbia,Hydro,61691050.0,57268726.0,-4422324.0,-7.168501751874866
British Columbia,Solar,0.0,16172.0,16172.0,
British Columbia,Wind,1247585.0,1748692.0,501107.0,40.16616102309662
Manitoba,Combustible fuels,148613.0,69934.0,-78679.0,-52.942205594396185
Manitoba,Hydro,35899525.0,25418979.0,-10480546.0,-29.194107721480993
Manitoba,Solar,0.0,2120.0,2120.0,
Manitoba,Wind,961918.0,911308.0,-50610.0,-5.261363234703998
New Brunswick,Combustible fuels,6617323.0,5921929.0,-695394.0,-10.508690598902305
New Brunswick,Hydro,3254739.0,2555441.0,-699298.0,-21.48553232686246
New Brunswick,Nuclear,4544840.0,3296023.0,-1248817.0,-27.477688983550575
New Brunswick,Solar,0.0,1933.0,1933.0,
New Brunswick,Wind,768669.0,1162400.0,393731.0,51.22243774628611
Newfoundland and Labrador,Combustible fuels,2171455.0,1250397.0,-921058.0,-42.4166284818244
Newfoundland and Labrador,Hydro,39124168.0,35929208.0,-3194960.0,-8.166205604678929
Newfoundland and Labrador,Solar,0.0,0.0,0.0,
Newfoundland and Labrador,Wind,187649.0,181000.0,-6649.0,-3.5433175769655048
Nova Scotia,Combustible fuels,7998113.0,6694044.0,-1304069.0,-16.304708373087504
Nova Scotia,Hydro,803488.0,617270.0,-186218.0,-23.176201760324982
Nova Scotia,Solar,0.0,5863.0,5863.0,
Nova Scotia,Wind,1000417.0,1705060.0,704643.0,70.4349286347593
Ontario,Combustible fuels,16990322.0,35618296.0,18627974.0,109.6387343335812
Ontario,Hydro,36677184.0,38793227.0,2116043.0,5.769371498095382
Ontario,Nuclear,91142472.0,78276140.0,-12866332.0,-14.116724856881213
Ontario,Solar,1785323.0,2282600.0,497277.0,27.85361528418107
Ontario,Wind,10616816.0,14695153.0,4078337.0,38.41393690914489
Prince Edward Island,Combustible fuels,9894.0,7212.0,-2682.0,-27.107337780473014
Prince Edward Island,Hydro,0.0,0.0,0.0,
Prince Edward Island,Solar,0.0,48684.0,48684.0,
Prince Edward Island,Wind,592690.0,578080.0,-14610.0,-2.465032310313992
Quebec,Combustible fuels,2310922.0,1959034.0,-351888.0,-15.227169069315192
Quebec,Hydro,198055860.0,177298645.0,-20757215.0,-10.480485152017213
Quebec,Solar,1488.0,12079.0,10591.0,711.760752688172
Quebec,Wind,9764099.0,11799502.0,2035403.0,20.845784132258387
Saskatchewan,Combustible fuels,20593507.0,19561486.0,-1032021.0,-5.01139024062293
Saskatchewan,Hydro,3284743.0,2828125.0,-456618.0,-13.901178874572532
Saskatchewan,Solar,0.0,46694.0,46694.0,
Saskatchewan,Wind,738170.0,2726798.0,1988628.0,269.3997317691047
