year,province,technology,generation
2016,Alberta,Biomass,
2016,Alberta,Combustible fuels,72518466.0
2016,Alberta,Hydro,1952061.0
2016,Alberta,Non-renewable combustibles,
2016,Alberta,Solar,1787.0
2016,Alberta,Wind,4586389.0
2016,British Columbia,Biomass,
2016,British Columbia,Combustible fuels,6608102.0
2016,British Columbia,Hydro,61691050.0
2016,British Columbia,Non-renewable combustibles,
2016,British Columbia,Solar,0.0
2016,British Columbia,Wind,1247585.0
2016,Manitoba,Biomass,
2016,Manitoba,Combustible fuels,148613.0
2016,Manitoba,Hydro,35899525.0
2016,Manitoba,Non-renewable combustibles,
2016,Manitoba,Solar,0.0
2016,Manitoba,Wind,961918.0
2016,New Brunswick,Biomass,
2016,New Brunswick,Combustible fuels,6617323.0
2016,New Brunswick,Hydro,3254739.0
2016,New Brunswick,Non-renewable combustibles,
2016,New Brunswick,Nuclear,4544840.0
2016,New Brunswick,Solar,0.0
2016,New Brunswick,Wind,768669.0
2016,Newfoundland and Labrador,Biomass,
2016,Newfoundland and Labrador,Combustible fuels,2171455.0
2016,Newfoundland and Labrador,Hydro,39124168.0
2016,Newfoundland and Labrador,Non-renewable combustibles,
2016,Newfoundland and Labrador,Solar,0.0
2016,Newfoundland and Labrador,Wind,187649.0
2016,Nova Scotia,Biomass,
2016,Nova Scotia,Combustible fuels,7998113.0
2016,Nova Scotia,Hydro,803488.0
2016,Nova Scotia,Non-renewable combustibles,
2016,Nova Scotia,Solar,0.0
2016,Nova Scotia,Wind,1000417.0
2016,Ontario,Biomass,
2016,Ontario,Combustible fuels,16990322.0
2016,Ontario,Hydro,36677184.0
2016,Ontario,Non-renewable combustibles,
2016,Ontario,Nuclear,91142472.0
2016,Ontario,Solar,1785323.0
2016,Ontario,Wind,10616816.0
2016,Prince Edward Island,Biomass,
2016,Prince Edward Island,Combustible fuels,9894.0
2016,Prince Edward Island,Hydro,0.0
2016,Prince Edward Island,Non-renewable combustibles,
2016,Prince Edward Island,Solar,0.0
2016,Prince Edward Island,Wind,592690.0
2016,Quebec,Biomass,
2016,Quebec,Combustible fuels,2310922.0
2016,Quebec,Hydro,198055860.0
2016,Quebec,Non-renewable combustibles,
2016,Quebec,Nuclear,
2016,Quebec,Solar,1488.0
2016,Quebec,Wind,9764099.0
2016,Saskatchewan,Biomass,
2016,Saskatchewan,Combustible fuels,20593507.0
2016,Saskatchewan,Hydro,3284743.0
2016,Saskatchewan,Non-renewable combustibles,
2016,Saskatchewan,Solar,0.0
2016,Saskatchewan,Wind,738170.0
2017,Alberta,Biomass,
2017,Alberta,Combustible fuels,74599891.0
2017,Alberta,Hydro,2049902.0
2017,Alberta,Non-renewable combustibles,
2017,Alberta,Solar,1866.0
2017,Alberta,Wind,4551533.0
2017,British Columbia,Biomass,
2017,British Columbia,Combustible fuels,6379784.0
2017,British Columbia,Hydro,66510159.0
2017,British Columbia,Non-renewable combustibles,
2017,British Columbia,Solar,0.0
2017,British Columbia,Wind,1593562.0
2017,Manitoba,Biomass,
2017,Manitoba,Combustible fuels,158960.0
2017,Manitoba,Hydro,35991071.0
2017,Manitoba,Non-renewable combustibles,
2017,Manitoba,Solar,0.0
2017,Manitoba,Wind,926591.0
2017,New Brunswick,Biomass,
2017,New Brunswick,Combustible fuels,4881644.0
2017,New Brunswick,Hydro,2583379.0
2017,New Brunswick,Non-renewable combustibles,
2017,New Brunswick,Nuclear,5119974.0
2017,New Brunswick,Solar,0.0
2017,New Brunswick,Wind,818574.0
2017,Newfoundland and Labrador,Biomass,
2017,Newfoundland and Labrador,Combustible fuels,2169625.0
2017,Newfoundland and Labrador,Hydro,36715352.0
