ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2016-01-01,Alberta,0.0,7094835.0,143297.0,0.0,,119.0,435206.0
2016-01-01,British Columbia,0.0,656770.0,6282143.0,0.0,,0.0,123453.0
2016-01-01,Manitoba,0.0,14693.0,3028482.0,0.0,,0.0,80424.0
2016-01-01,New Brunswick,0.0,667083.0,269647.0,0.0,490425.0,0.0,86843.0
2016-01-01,Newfoundland and Labrador,0.0,303692.0,4581599.0,0.0,,0.0,20217.0
2016-01-01,Nova Scotia,0.0,823926.0,92922.0,0.0,,0.0,106744.0
2016-01-01,Ontario,0.0,1387401.0,3544699.0,0.0,8433834.0,62903.0,1285619.0
2016-01-01,Prince Edward Island,0.0,1571.0,0.0,0.0,,0.0,57175.0
2016-01-01,Quebec,0.0,224361.0,20446720.0,0.0,0.0,60.0,1020169.0
2016-01-01,Saskatchewan,0.0,1952335.0,294900.0,0.0,,0.0,61200.0
2016-02-01,Alberta,0.0,5805541.0,133727.0,0.0,,109.0,515231.0
2016-02-01,British Columbia,0.0,550304.0,4884000.0,0.0,,0.0,129180.0
2016-02-01,Manitoba,0.0,12940.0,2906299.0,0.0,,0.0,78977.0
2016-02-01,New Brunswick,0.0,590957.0,252946.0,0.0,459917.0,0.0,88323.0
2016-02-01,Newfoundland and Labrador,0.0,282040.0,3950032.0,0.0,,0.0,17406.0
2016-02-01,Nova Scotia,0.0,700949.0,115791.0,0.0,,0.0,92039.0
2016-02-01,Ontario,0.0,1288688.0,3365525.0,0.0,7818067.0,80501.0,1059386.0
2016-02-01,Prince Edward Island,0.0,1446.0,0.0,0.0,,0.0,55547.0
2016-02-01,Quebec,0.0,219215.0,19285350.0,0.0,0.0,88.0,924742.0
2016-02-01,Saskatchewan,0.0,1758311.0,297709.0,0.0,,0.0,60750.0
2016-03-01,Alberta,0.0,6196588.0,161315.0,0.0,,101.0,461390.0
2016-03-01,British Columbia,0.0,604152.0,4900888.0,0.0,,0.0,127307.0
2016-03-01,Manitoba,0.0,8509.0,3123068.0,0.0,,0.0,87144.0
2016-03-01,New Brunswick,0.0,500168.0,354185.0,0.0,491101.0,0.0,71832.0
2016-03-01,Newfoundland and Labrador,0.0,298945.0,4025290.0,0.0,,0.0,17753.0
2016-03-01,Nova Scotia,0.0,735956.0,123478.0,0.0,,0.0,90611.0
2016-03-01,Ontario,0.0,1250724.0,3403377.0,0.0,7696686.0,108205.0,787487.0
2016-03-01,Prince Edward Island,0.0,879.0,0.0,0.0,,0.0,54254.0
