province,technology,year,status_code,months
Alberta,Biomass,2016,1,12
Alberta,Biomass,2017,1,12
Alberta,Biomass,2018,1,12
Alberta,Biomass,2019,1,12
Alberta,Biomass,2020,0,12
Alberta,Biomass,2021,0,12
Alberta,Biomass,2022,0,12
Alberta,Biomass,2023,0,12
Alberta,Biomass,2024,0,12
Alberta,Biomass,2025,0,12
Alberta,Combustible fuels,2016,0,12
Alberta,Combustible fuels,2017,0,12
Alberta,Combustible fuels,2018,0,12
Alberta,Combustible fuels,2019,0,12
Alberta,Combustible fuels,2020,0,12
Alberta,Combustible fuels,2021,0,12
Alberta,Combustible fuels,2022,0,12
Alberta,Combustible fuels,2023,0,12
Alberta,Combustible fuels,2024,0,12
Alberta,Combustible fuels,2025,0,12
Alberta,Hydro,2016,0,12
Alberta,Hydro,2017,0,12
Alberta,Hydro,2018,0,12
Alberta,Hydro,2019,0,12
Alberta,Hydro,2020,0,12
Alberta,Hydro,2021,0,12
Alberta,Hydro,2022,0,12
Alberta,Hydro,2023,0,12
Alberta,Hydro,2024,0,12
Alberta,Hydro,2025,0,12
Alberta,Non-renewable combustibles,2016,1,12
Alberta,Non-renewable combustibles,2017,1,12
Alberta,Non-renewable combustibles,2018,1,12
Alberta,Non-renewable combustibles,2019,1,12
Alberta,Non-renewable combustibles,2020,0,12
Alberta,Non-renewable combustibles,2021,0,12
Alberta,Non-renewable combustibles,2022,0,12
Alberta,Non-renewable combustibles,2023,0,12
Alberta,Non-renewable combustibles,2024,0,12
Alberta,Non-renewable combustibles,2025,0,12
Alberta,Solar,2016,0,12
Alberta,Solar,2017,0,12
Alberta,Solar,2018,0,12
Alberta,Solar,2019,0,12
Alberta,Solar,2020,0,12
Alberta,Solar,2021,0,12
Alberta,Solar,2022,0,12
Alberta,Solar,2023,0,12
Alberta,Solar,2024,0,12
Alberta,Solar,2025,0,12
Alberta,Wind,2016,0,12
Alberta,Wind,2017,0,12
Alberta,Wind,2018,0,12
Alberta,Wind,2019,0,12
Alberta,Wind,2020,0,12
Alberta,Wind,2021,0,12
Alberta,Wind,2022,0,12
Alberta,Wind,2023,0,12
Alberta,Wind,2024,0,12
Alberta,Wind,2025,0,12
British Columbia,Biomass,2016,1,12
British Columbia,Biomass,2017,1,12
British Columbia,Biomass,2018,1,12
British Columbia,Biomass,2019,1,12
British Columbia,Biomass,2020,0,12
British Columbia,Biomass,2021,0,12
British Columbia,Biomass,2022,0,12
British Columbia,Biomass,2023,0,12
British Columbia,Biomass,2024,0,12
British Columbia,Biomass,2025,0,12
British Columbia,Combustible fuels,2016,0,12
British Columbia,Combustible fuels,2017,0,12
British Columbia,Combustible fuels,2018,0,12
British Columbia,Combustible fuels,2019,0,12
British Columbia,Combustible fuels,2020,0,12
British Columbia,Combustible fuels,2021,0,12
