ref_date,province,generation_type,technology,value,vector_id,coordinate,scalar_factor_code,decimals,symbol_code,status_code,security_level_code,release_time,frequency_code,series_title,member_uom_code
2016-01-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-02-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-03-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-04-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-05-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-06-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-07-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-08-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-09-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-10-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-11-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-12-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2017-01-01,Alberta,Total electricity production from biomass,Biomass,,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,1,0,,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
